,owner_address,contract_address,token_id,token_type,balance,collection_name,collection_slug,is_spam,floor_price,price_currency,description,last_ingested_at,total_supply,image_url,twitter_sentiment,twitter_tweet_volume,twitter_positive_tweets,twitter_negative_tweets,twitter_neutral_tweets
10,,0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,8009,erc721,1,Bored Ape Kennel Club,bored-ape-kennel-club,False,0.3736495,ETH,"It gets lonely in the swamp sometimes. That's why every ape should have a four-legged companion. To curl up at your feet. To bring you a beer. To fire a missile launcher at that bastard Jimmy the Monkey.

That's why we've started the Bored Ape Kennel Club, and why we're offering up a dog NFT for adoption to every single member of the BAYC – for free (you only pay gas).

Learn more at: http://boredapeyachtclub.com/#/kennel-club",2025-07-17T14:52:50.495835,9602,https://i2.seadn.io/ethereum/0xba30e5f9bb24caa003e9f2f0497ad287fdf95623/e1480db0fbde2708d2e64d46bbcabe61.png,0.0,0,0,0,0
11,,0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,8618,erc721,1,Meebits,meebits,False,0.534999,ETH,"The Meebits are 20,000 unique 3D voxel characters, created by a custom generative algorithm, then registered on the Ethereum blockchain.",2025-07-17T14:52:51.401784,20000,https://i2.seadn.io/ethereum/0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7/9c72ece4433221ea2f8877115afe9fc5.png,0.0,0,0,0,0
12,,0x1a92f7381b9f03921564a437210bb9396471050c,9967,erc721,1,Cool Cats,cool-cats-nft,False,0.38199899,ETH,"Cool Cats is a collection of 9,999 randomly generated and stylistically curated NFTs that exist on the Ethereum Blockchain. Cool Cat holders can participate in exclusive events such as NFT claims, raffles, community giveaways, and more. Remember, all cats are cool, but some are cooler than others.",2025-07-17T14:52:51.949178,9968,https://i2.seadn.io/ethereum/0x1a92f7381b9f03921564a437210bb9396471050c/4c50919a66f01822ac5e8514d92b71b7.png,0.0,0,0,0,0
13,,0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949,19945,erc721,1,BEANZ Official,beanzofficial,False,0.098639,ETH,"BEANZ are a small species that sprouts from the dirt in the garden. They make for a great sidekick to an Azuki, although some like to kick it alone. They're earnestly driven by the desire to help. However, certain BEANZ feel a calling to pave their own path...",2025-07-17T14:52:52.962922,19950,https://i2.seadn.io/ethereum/0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949/4ea830dbd59d24dc89bd0ab7f65e68ba.png,0.0,0,0,0,0
14,,0x5af0d9827e0c53e4799bb226655a1de152a425a5,9999,erc721,1,Milady Maker,milady,False,2.5,ETH,"Milady Maker is a collection of 10,000 generative pfpNFT's in a neochibi aesthetic inspired by street style tribes.",2025-07-17T14:52:53.967256,10000,https://i2.seadn.io/ethereum/0x5af0d9827e0c53e4799bb226655a1de152a425a5/dc2b951e454f8f6374f250c3070218/59dc2b951e454f8f6374f250c3070218.png,0.0,0,0,0,0
15,,0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,9924,erc721,1,Audioglyphs,audioglyphs,False,0.008599,ETH,"10,000 randomly generated, infinite audio NFTs derived from on-chain [Pixelglyph](https://opensea.io/collection/pixelglyphs) data.

Each Audioglyph synthesizes a unique, infinite stream of music directly in your browser at lossless quality.

## Future of Music
Audioglyphs are a glimpse into a future of music where instead of publishing statically recorded songs and limiting access, artists create infinite variations that are available to all to explore freely.

Instead of buying the rights to listen to music, listeners can truly own a unique version.

## Open Technology

We plan to open source the core technology Audioglyphs uses for managing and embedding audio processing on the web.

With the success of Audioglyphs, we plan to continue to develop tools for artists to create and publish generative music.

## Carbon neutral

Carbon emissions from minting will be offset with a donation supporting the Devarahipparigi Wind Power Project in Karnataka, India facilitated by Offsetra",2025-07-17T14:52:54.559106,10000,https://raw2.seadn.io/ethereum/0xfb3765e0e7ac73e736566af913fa58c3cfd686b7/d9e723467e8f731039c13d3a0d8118f9.svg,0.0,0,0,0,0
16,,0x524cab2ec69124574082676e6f654a18df49a048,887,erc721,1,Lil Pudgys,lilpudgys,False,1.52896,ETH,"Lil Pudgys is a collection of 22,222 NFTs originating from Pudgy Penguins. Don’t let their small stature fool you, Lil Pudgys are an integral piece of the Pudgy Penguins history. Their story began during the most frigid of winters. In the midst of adversity, the birth of the Lil Pudgys helped spark new-life into the Pudgy Penguins community. 

With their unique traits and personalities, there’s a Lil Pudgy for everyone. Lil Pudgy holders receive exclusive access to experiences, events, IP licensing opportunities and more. 

Pudgy Collections:
[Pudgy Penguins](https://opensea.io/collection/pudgypenguins) | [Pudgy Rods](https://opensea.io/collection/pudgyrods)

Crosschain Lil Pudgys:
[Bridge](https://bridge.pudgypenguins.com) | [Polygon](https://opensea.io/collection//lilpudgys-polygon) | [Binance](https://opensea.io/collection//lilpudgys-binance) | [Arbitrum](https://opensea.io/collection//lilpudgys-arbitrum)",2025-07-17T14:52:55.171920,21911,https://i2.seadn.io/ethereum/0x524cab2ec69124574082676e6f654a18df49a048/046f95861c9db482cdb571ebc1d9c4/79046f95861c9db482cdb571ebc1d9c4.png,0.0,0,0,0,0
17,,0x8821bee2ba0df28761afff119d66390d594cd280,3379,erc721,1,DeGods,degods-eth,False,0.29145,ETH,"A collection of degenerates, punks, and misfits. Gods of the metaverse & masters of our own universe.",2025-07-17T14:52:56.269984,,https://i2.seadn.io/ethereum/0x8821bee2ba0df28761afff119d66390d594cd280/1f44a5e4217a589dcfc40b6dfa9b05/ea1f44a5e4217a589dcfc40b6dfa9b05.png,0.0,0,0,0,0
18,,0xc2c747e0f7004f9e8817db2ca4997657a7746928,16383,erc721,1,Hashmasks,hashmasks,False,0.06090597,ETH,"Hashmasks are ancient traits and memories of the first travelers to Earth. Their journey here was long and hard. The Hashmasks forgot their names by the time they arrived. They left clues for us to unravel so that we could discover their meaning.​

Are you a curious lover of fine art? Join our community of passionate detectives. Come add to the Hashmasks story and discover the character behind your own mask!",2025-07-17T14:52:57.303450,16384,https://i2.seadn.io/ethereum/0xc2c747e0f7004f9e8817db2ca4997657a7746928/4e38c482c6ae1c3a759b3c811ccca6/404e38c482c6ae1c3a759b3c811ccca6.jpeg,0.0,0,0,0,0
19,,0x9d305a42a3975ee4c1c57555bed5919889dce63f,6476,erc721,1,,sandbox,False,,,,2025-07-17T14:52:57.896004,,https://i2.seadn.io/polygon/0x9d305a42a3975ee4c1c57555bed5919889dce63f/7c4142b7de09f5baa5ce897514b836/5e7c4142b7de09f5baa5ce897514b836.webp,0.0,0,0,0,0
